state,filling_status,income_limit,rate,tax_previous_bracket
AK,married_filing_jointly,0,0.0,0.0
AK,single_filers,0,0.0,0.0
AL,married_filing_jointly,6000,0.05,220.0
AL,married_filing_jointly,1000,0.04,20.0
AL,married_filing_jointly,0,0.02,0.0
AL,single_filers,3000,0.05,110.0
AL,single_filers,500,0.04,10.0
AL,single_filers,0,0.02,0.0
AR,married_filing_jointly,35599,0.07,1555.49
AR,married_filing_jointly,20699,0.06,661.49
AR,married_filing_jointly,12399,0.045,287.99
AR,married_filing_jointly,8299,0.035,144.49
AR,married_filing_jointly,4199,0.025,41.99
AR,married_filing_jointly,0,0.01,0.0
AR,single_filers,35599,0.07,1555.49
AR,single_filers,20699,0.06,661.49
AR,single_filers,12399,0.045,287.99
AR,single_filers,8299,0.035,144.49
AR,single_filers,4199,0.025,41.99
AR,single_filers,0,0.01,0.0
AZ,married_filing_jointly,300000,0.0454,11542.0
AZ,married_filing_jointly,100000,0.0424,3062.0
AZ,married_filing_jointly,50000,0.0336,1382.0
AZ,married_filing_jointly,20000,0.0288,518.0
AZ,married_filing_jointly,0,0.0259,0.0
AZ,single_filers,150000,0.0454,5771.0
AZ,single_filers,50000,0.0424,1531.0
AZ,single_filers,25000,0.0336,691.0
AZ,single_filers,10000,0.0288,259.0
AZ,single_filers,0,0.0259,0.0
CA,married_filing_jointly,1000000,0.133,104651.6
CA,married_filing_jointly,691560,0.123,66713.48
CA,married_filing_jointly,414936,0.113,35454.97
CA,married_filing_jointly,345780,0.103,28331.9
CA,married_filing_jointly,67751,0.093,2475.2
CA,married_filing_jointly,57359,0.08,1643.84
CA,married_filing_jointly,46346,0.06,983.06
CA,married_filing_jointly,35952,0.04,567.3
CA,married_filing_jointly,15174,0.02,151.74
CA,married_filing_jointly,0,0.01,0.0
CA,single_filers,1000000,0.133,109884.0
CA,single_filers,508500,0.123,49429.5
CA,single_filers,305100,0.113,26445.3
CA,single_filers,254250,0.103,21207.75
CA,single_filers,49774,0.093,2191.48
CA,single_filers,39384,0.08,1360.28
CA,single_filers,28371,0.06,699.5
CA,single_filers,17976,0.04,283.7
CA,single_filers,7582,0.02,75.82
CA,single_filers,0,0.01,0.0
CO,married_filing_jointly,0,0.0463,0.0
CO,single_filers,0,0.0463,0.0
CT,married_filing_jointly,500000,0.067,28600.0
CT,married_filing_jointly,400000,0.065,22100.0
CT,married_filing_jointly,200000,0.06,10100.0
CT,married_filing_jointly,100000,0.055,4600.0
CT,married_filing_jointly,20000,0.05,600.0
CT,married_filing_jointly,0,0.03,0.0
CT,single_filers,250000,0.067,14300.0
CT,single_filers,200000,0.065,11050.0
CT,single_filers,100000,0.06,5050.0
CT,single_filers,50000,0.055,2300.0
CT,single_filers,10000,0.05,300.0
CT,single_filers,0,0.03,0.0
DC,married_filing_jointly,350000,0.0895,28550.0
DC,married_filing_jointly,40000,0.085,2200.0
DC,married_filing_jointly,10000,0.06,400.0
DC,married_filing_jointly,0,0.04,0.0
DC,single_filers,350000,0.0895,28550.0
